episode,coverage,steps,full_coverage
1,1.000000,26,1
2,1.000000,36,1
3,1.000000,25,1
4,1.000000,22,1
5,1.000000,28,1
6,1.000000,25,1
7,1.000000,30,1
8,1.000000,27,1
9,1.000000,47,1
10,1.000000,46,1
11,1.000000,24,1
12,1.000000,28,1
13,1.000000,29,1
14,1.000000,30,1
15,1.000000,23,1
16,1.000000,33,1
17,0.954545,200,0
18,1.000000,28,1
19,1.000000,33,1
20,1.000000,23,1
21,0.954545,200,0
22,1.000000,24,1
23,1.000000,30,1
24,1.000000,30,1
25,1.000000,33,1
26,1.000000,28,1
27,1.000000,23,1
28,1.000000,27,1
29,1.000000,28,1
30,1.000000,29,1
31,1.000000,27,1
32,1.000000,29,1
33,1.000000,39,1
34,1.000000,43,1
35,1.000000,30,1
36,1.000000,32,1
37,1.000000,28,1
38,1.000000,25,1
39,1.000000,26,1
40,0.818182,200,0
41,1.000000,29,1
42,1.000000,27,1
43,1.000000,29,1
44,0.954545,200,0
45,1.000000,23,1
46,1.000000,32,1
47,1.000000,32,1
48,1.000000,43,1
49,1.000000,28,1
50,1.000000,24,1
51,1.000000,23,1
52,1.000000,119,1
53,1.000000,28,1
54,1.000000,22,1
55,1.000000,27,1
56,1.000000,32,1
57,1.000000,27,1
58,1.000000,29,1
59,1.000000,26,1
60,1.000000,30,1
61,1.000000,24,1
62,1.000000,24,1
63,1.000000,23,1
64,1.000000,26,1
65,1.000000,68,1
66,1.000000,28,1
67,1.000000,24,1
68,1.000000,22,1
69,1.000000,29,1
70,1.000000,34,1
71,1.000000,36,1
72,0.909091,200,0
73,1.000000,77,1
74,1.000000,67,1
75,1.000000,31,1
76,1.000000,33,1
77,1.000000,53,1
78,1.000000,37,1
79,1.000000,23,1
80,1.000000,21,1
81,1.000000,26,1
82,1.000000,29,1
83,1.000000,23,1
84,1.000000,24,1
85,1.000000,35,1
86,1.000000,31,1
87,1.000000,29,1
88,1.000000,25,1
89,1.000000,27,1
90,1.000000,24,1
91,1.000000,27,1
92,1.000000,75,1
93,1.000000,25,1
94,1.000000,23,1
95,1.000000,24,1
96,1.000000,25,1
97,1.000000,31,1
98,1.000000,32,1
99,1.000000,25,1
100,1.000000,30,1
