episode,coverage,steps,full_coverage
1,1.000000,33,1
2,1.000000,24,1
3,1.000000,24,1
4,1.000000,25,1
5,1.000000,28,1
6,1.000000,23,1
7,1.000000,22,1
8,1.000000,24,1
9,1.000000,24,1
10,1.000000,23,1
11,1.000000,26,1
12,1.000000,21,1
13,1.000000,24,1
14,0.909091,200,0
15,1.000000,24,1
16,0.954545,200,0
17,1.000000,25,1
18,1.000000,29,1
19,1.000000,45,1
20,1.000000,34,1
21,1.000000,23,1
22,1.000000,33,1
23,1.000000,28,1
24,1.000000,36,1
25,1.000000,26,1
26,1.000000,30,1
27,1.000000,36,1
28,1.000000,26,1
29,1.000000,30,1
30,1.000000,29,1
31,1.000000,23,1
32,0.863636,200,0
33,1.000000,22,1
34,1.000000,26,1
35,1.000000,24,1
36,1.000000,25,1
37,0.954545,200,0
38,1.000000,37,1
39,1.000000,30,1
40,0.954545,200,0
41,0.863636,200,0
42,1.000000,36,1
43,1.000000,21,1
44,1.000000,28,1
45,1.000000,32,1
46,1.000000,21,1
47,1.000000,32,1
48,1.000000,25,1
49,1.000000,33,1
50,1.000000,24,1
51,0.909091,200,0
52,1.000000,28,1
53,1.000000,31,1
54,1.000000,32,1
55,0.909091,200,0
56,1.000000,26,1
57,1.000000,31,1
58,1.000000,30,1
59,1.000000,34,1
60,1.000000,41,1
61,1.000000,23,1
62,1.000000,34,1
63,1.000000,23,1
64,0.954545,200,0
65,1.000000,32,1
66,1.000000,36,1
67,1.000000,26,1
68,1.000000,21,1
69,1.000000,35,1
70,1.000000,26,1
71,1.000000,27,1
72,1.000000,26,1
73,1.000000,22,1
74,1.000000,26,1
75,1.000000,36,1
76,1.000000,23,1
77,1.000000,24,1
78,1.000000,26,1
79,1.000000,27,1
80,1.000000,29,1
81,1.000000,25,1
82,1.000000,48,1
83,0.954545,200,0
84,1.000000,35,1
85,1.000000,26,1
86,1.000000,23,1
87,1.000000,30,1
88,1.000000,134,1
89,1.000000,124,1
90,1.000000,37,1
91,1.000000,25,1
92,1.000000,30,1
93,1.000000,29,1
94,1.000000,151,1
95,1.000000,23,1
96,1.000000,33,1
97,1.000000,82,1
98,1.000000,28,1
99,0.954545,200,0
100,0.363636,200,0
